STT,Mã khách hàng,Tên khách hàng,Địa chỉ,"Nhóm KH, NCC",Mã số thuế,Điện thoại,Ngừng theo dõi,
87,7492,CÔNG TY CỔ PHẦN CƠ KHÍ XÂY DỰNG HD STEEL,"Số 107, đường Lê Đức Thọ, Phường 17, Quận Gò Vấp, Thành phố Hồ Chí Minh, Việt Nam",,0316327065,,FALSE,
88,KH00079,CÔNG TY TNHH GIAO NHẬN VÀ VẬN TẢI THUẬN THÀNH,"217/27 Nơ Trang Long, Phường 12, Quận Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam",,0316431115,,FALSE,
89,KH00083,CÔNG TY CỔ PHẦN THƯƠNG MẠI TMI,"1 Hoàng Hoa Thám, Phường 6, Quận Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam",,0316689749,,FALSE,
90,2111,CÔNG TY TNHH B&B CHEMICAL,"14 đường số 4 - cư xá Đô Thành, Phường 04, Quận 3, Thành phố Hồ Chí Minh, Việt Nam",,0316792111,,FALSE,
91,7493,CÔNG TY TNHH ĐẦU TƯ QUẢNG CÁO TẦM NHÌN MỚI,"Số 19, Đường số 32, Rio Vista, 72 Dương Đình Hội, Phường Phước Long B, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",,0316911697,,FALSE,
92,KH00089,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ VẬN TẢI NGUYÊN THÔNG,"13C Nguyễn Văn Mai, Phường Võ Thị Sáu, Quận 3, Thành phố Hồ Chí Minh, Việt Nam",,0316972932,,FALSE,
93,8637,CÔNG TY TNHH TM XUẤT NHẬP KHẨU PHÚC AN,"457/1C Nơ Trang Long, Phường 13, Quận Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam",,0317038637,,FALSE,
94,9683,CÔNG TY TNHH WOOJIN TRADING,"SAV.4-02.27, Tầng 2, Tháp 4, 28 Mai Chí Thọ, Phường An Phú, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",,0317379683,,FALSE,
95,8244,CÔNG TY TNHH TM DV XD NINH AN,"14H đường Phan Văn Trị, Phường 7, Quận Gò Vấp, Thành phố Hồ Chí Minh, Việt Nam",,0317418244,,FALSE,
96,5187,CÔNG TY TNHH WISE CREATION VN,"Số 24 đường 19, Khu dân cư NineSouth, ấp 4, Xã Phước Kiển, Huyện Nhà Bè, Thành phố Hồ Chí Minh, Việt Nam",,0317595187,,FALSE,
97,7503,CÔNG TY TNHH VẬT LIỆU XÂY DỰNG TÂN THÀNH,"204B/16 Nguyễn Văn Hưởng, Phường Thảo Điền, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",,0317602684,,FALSE,
98,7505,CÔNG TY TNHH OKASU,"Số 152-154 đường số 9, Phường Tân Phú, Quận 7, Thành phố Hồ Chí Minh, Việt Nam",,0317876371,,FALSE,
99,7510,CÔNG TY TNHH Y.LOS,"41 đường số 2, KĐT Vạn Phúc, Phường Hiệp Bình Phước, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",,0318082879,,FALSE,
100,7556,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ BLUE-O,"Tầng 12B, Tòa nhà Cienco4, 180 Nguyễn Thị Minh Khai, Phường Xuân Hòa, Thành phố Hồ Chí Minh, Việt Nam.",,0318170701,,FALSE,
101,7544,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ THIẾT BỊ CÔNG NGHIỆP HTTECH,"9 Đường 1B, Khu phố 6, Phường An Lạc, Quận Bình Tân, Thành phố Hồ Chí Minh, Việt Nam",,0318747851,,FALSE,
102,4488,CÔNG TY CỔ PHẦN KIM KHÍ THÁI BÌNH,"Số nhà 49, đường Nguyễn Thành, tổ 5, Phường Trần Hưng Đạo, Thành phố Thái Bình, Tỉnh Thái Bình, Việt Nam",,1000954488,,FALSE,
103,7553,CÔNG TY TNHH CÔNG NGHỆ DEEPDREAM,"Thôn Tân Lập, Xã Đông Thái Ninh, Tỉnh Hưng Yên, Việt Nam.",,1001211446,,FALSE,
104,1122,CÔNG TY TNHH MTV AJ TOTAL VIỆT NAM,"Lô H.04, Đường số 1, Khu Công Nghiệp Long Hậu, Xã Long Hậu, Huyện Cần Giuộc, Tỉnh Long An, Việt Nam",,1101901122,,FALSE,
105,7517,CÔNG TY TNHH EMIVEST FEEDMILL (TG) VIỆT NAM- CHI NHÁNH XUÂN PHÚ,"Tổ 3, ấp Bình Hòa, Xã Xuân Phú, Huyện Xuân Lộc, Tỉnh Đồng Nai, Việt Nam",,1201418945-005,,FALSE,
106,0440,CÔNG TY TNHH CHÍNH XÁC QUỐC TẾ LÍ HẰNG,"Số 58, đường Ngọc Hân Công Chúa, Phường Ninh Xá, Thành phố Bắc Ninh, Tỉnh Bắc Ninh, Việt Nam",,2301110440,,FALSE,
107,7501,CÔNG TY TNHH CÔNG NGHIỆP HANWEL,"Khu Cầu Ngà, Phường Vân Dương, Thành phố Bắc Ninh, Tỉnh Bắc Ninh, Việt Nam",,2301110680,,FALSE,
108,KH00025,CÔNG TY TRÁCH NHIỆM HỮU HẠN TÂN CHUNG,"Đường số 2A, Khu công nghiệp Mỹ Xuân A, Phường Mỹ Xuân, Thị Xã Phú Mỹ, Tỉnh Bà Rịa - Vũng Tàu, Việt Nam",,3500667936,,FALSE,
109,7541,CÔNG TY TNHH TÚ TÀI,"Số 8/1 ấp Nhân Trí, Xã Xuyên Mộc, Huyện Xuyên Mộc, Tỉnh Bà Rịa - Vũng Tàu, Việt Nam",,3501248790,,FALSE,
110,1654,CÔNG TY TNHH CHANG CHUN VINA,"Đường D1, lô B, Cụm Công nghiệp - tiểu thủ công nghiệp An Ngãi, Xã An Ngãi, Huyện Long Điền, Tỉnh Bà Rịa - Vũng Tàu, Việt Nam",,3502291654,,FALSE,
111,2552,CÔNG TY CỔ PHẦN SƯ TỬ BIỂN PHƯỚC HÒA,"Km 50, Quốc lộ 51, Khu Phố ông Trịnh, Phường Tân Phước, Thị Xã Phú Mỹ, Tỉnh Bà Rịa - Vũng Tàu, Việt Nam",,3502292552,,FALSE,
112,7531,CÔNG TY TRÁCH NHIỆM HỮU HẠN H2O ASIA WATER TECHNOLOGIES,"Tổ 5,ấp Tân Hội, Xã Phước Hội, Huyện Đất đỏ, Tỉnh Bà Rịa - Vũng Tàu, Việt Nam",,3502320961,,FALSE,
113,KH00065,CÔNG TY TNHH SUNG JIN,"Lô 10B, đường Đ.04, Khu công nghiệp Châu Đức, Xã Suối Nghệ, Huyện Châu Đức, Tỉnh Bà Rịa - Vũng Tàu, Việt Nam",,3502351173,,FALSE,
